"rules","support","confidence","coverage","lift","count"
"1","{ItalAtlas} => {RefBks}",0.022,0.676923076923077,0.0325,3.30609561378792,88
"2","{ItalAtlas} => {YouthBks}",0.0175,0.538461538461538,0.0325,2.26006941641779,70
"3","{ItalAtlas} => {DoItYBks}",0.0175,0.538461538461538,0.0325,2.11368611761153,70
"4","{ItalAtlas} => {ChildBks}",0.02475,0.761538461538461,0.0325,1.93283873486919,99
"5","{ItalAtlas} => {CookBks}",0.0275,0.846153846153846,0.0325,2.03647135055077,110
"6","{ItalArt} => {ArtBks}",0.022,0.508670520231214,0.04325,2.28103372300993,88
"7","{ItalArt} => {DoItYBks}",0.025,0.578034682080925,0.04325,2.26902721130883,100
"8","{ItalArt} => {ChildBks}",0.03175,0.734104046242775,0.04325,1.86320823919486,127
"9","{ItalArt} => {CookBks}",0.03175,0.734104046242775,0.04325,1.76679674185987,127
"10","{ItalCook} => {ChildBks}",0.06025,0.56046511627907,0.1075,1.42250029512454,241
"11","{ItalCook} => {CookBks}",0.06875,0.63953488372093,0.1075,1.53919346262558,275
"12","{ArtBks} => {CookBks}",0.113,0.506726457399103,0.223,1.21955826088833,452
"13","{RefBks} => {ChildBks}",0.12825,0.626373626373626,0.20475,1.58978077759804,513
"14","{RefBks} => {CookBks}",0.13975,0.682539682539683,0.20475,1.64269478348901,559
"15","{YouthBks} => {ChildBks}",0.1475,0.61909758656873,0.23825,1.57131367149424,590
"16","{YouthBks} => {CookBks}",0.161,0.675760755508919,0.23825,1.62637967631509,644
"17","{GeogBks} => {ChildBks}",0.14625,0.548266166822868,0.26675,1.39153849447428,585
"18","{GeogBks} => {CookBks}",0.15625,0.585754451733833,0.26675,1.40975800657962,625
"19","{DoItYBks} => {ChildBks}",0.1615,0.633954857703631,0.25475,1.6090224814813,646
"20","{DoItYBks} => {CookBks}",0.16875,0.662414131501472,0.25475,1.59425783754867,675
"21","{ChildBks} => {CookBks}",0.242,0.614213197969543,0.394,1.47825077730335,968
"22","{CookBks} => {ChildBks}",0.242,0.582430806257521,0.4155,1.47825077730335,968
